GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine Coolant Temperature(°C),Intake Manifold Pressure(kPa),Engine RPM(rpm),Miles Per Gallon(Instant)(mpg)
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.316,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.4956134,6.7525454,7.077072,0.013097959,0.0,0.012851810082793236,81.0,31.0,705.5,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.390,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.29461628,6.7034926,7.0268226,0.012552977,0.0,0.012552976608276367,81.0,31.0,705.5,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.490,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.49202415,6.6999035,7.068697,0.013065517,0.0,0.013065516948699951,81.0,31.0,705.5,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.590,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.44057846,6.7011,7.120143,0.0142316995,0.0,0.014231699518859386,81.0,31.0,705.5,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.690,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.28145576,6.748956,7.0603223,0.013822331,0.0,0.013822331093251705,81.0,31.0,700.25,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.791,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.58893347,6.6759753,7.030412,0.012573632,0.0,0.012573632411658764,81.0,31.0,700.25,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.890,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.43818563,6.751349,7.0399833,0.014302433,0.0,0.014302432537078857,81.0,31.0,700.25,0.0
Wed May 19 18:19:17 EDT 2021,19-May-2021 18:19:16.990,-79.38239634,43.78281734,0.0,3.7900925,140.356689453125,0.0,0.45134616,6.7525454,6.762117,0.009091252,0.0,0.009091252461075783,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.090,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,0.95653087,7.062715,6.73101,0.012940979,0.0,0.01294097863137722,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.191,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.5458627,6.046364,7.7330046,0.015831936,0.0,0.01583193615078926,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.290,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.09571291,6.812366,7.0375905,0.017487288,0.0,0.017487287521362305,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.390,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,0.021535404,6.524031,7.286444,0.017710501,0.0,0.017710501328110695,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.492,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.2727818,6.6305118,7.030412,0.016868161,0.0,0.016868161037564278,81.0,31.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.590,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.5709873,6.4965134,7.416853,0.010837803,0.0,0.010837802663445473,81.0,32.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.689,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,0.21655045,6.802795,6.88774,0.006082356,0.0,0.006082355976104736,81.0,32.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.792,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,0.10289137,6.5108705,7.3773713,0.008796793,0.0,0.008796793408691883,81.0,32.0,700.25,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.890,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.20817557,6.396912,7.2026954,0.0094703715,0.0,0.009470371529459953,81.0,32.0,704.0,0.0
Wed May 19 18:19:18 EDT 2021,19-May-2021 18:19:17.990,-79.38239635,43.78281734,0.0,3.7900925,140.35687255859375,0.0,-0.20578274,6.5479593,7.5173516,0.015958747,0.0,0.015958746895194054,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.089,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.34247273,6.389734,7.379764,0.014682472,0.0,0.014682471752166748,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.191,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.086141616,6.271289,7.1799636,0.015447455,0.0,0.015447455458343029,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.290,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.5494519,6.7609205,6.799206,0.012683681,0.0,0.012683681212365627,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.389,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-1.611267,6.9224358,6.3741803,-0.0078026652,0.0,-0.0078026652336120605,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.490,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-1.1515459,7.1512494,6.1660047,-0.0053327256,0.0,-0.005332725588232279,81.0,32.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.590,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.43579283,7.0411797,6.680761,2.61779E-4,0.0,2.6177900144830346E-4,81.0,31.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.690,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,0.17587246,6.378966,7.5149584,0.0040365914,0.0,0.00403659138828516,81.0,31.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.791,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.076570325,5.905187,8.286046,0.056232035,0.0,0.0562320351600647,81.0,31.0,704.0,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.891,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,-0.43698925,6.8039913,7.583453,0.03768382,0.0,0.037683818489313126,81.0,31.0,718.75,0.0
Wed May 19 18:19:19 EDT 2021,19-May-2021 18:19:18.990,-79.38239635,43.78281732,0.0,3.7900925,140.3570556640625,0.0,0.35563326,7.153642,7.224231,0.026714623,0.0,0.026714622974395752,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.089,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-1.4533406,5.6464634,7.679166,0.026335562,0.0,0.026335561648011208,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.190,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.8560323,6.4184475,6.573084,-0.04044485,0.0,-0.04044485092163086,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.290,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.64995044,6.215058,6.9595246,-0.0109038185,0.0,-0.010903818532824516,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.389,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.14117654,6.3801622,7.4886374,0.008842864,0.0,0.008842864073812962,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.489,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.5482555,6.4292154,7.018448,0.006195279,0.0,0.006195278838276863,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.590,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.3687938,6.4148583,7.322336,0.012049735,0.0,0.012049734592437744,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.689,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,0.16390835,6.509674,7.3103724,0.01975458,0.0,0.019754579290747643,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.789,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.23090738,6.3574305,7.413264,0.013781501,0.0,0.013781500980257988,81.0,31.0,718.75,0.0
Wed May 19 18:19:20 EDT 2021,19-May-2021 18:19:19.889,-79.38239634,43.78281731,0.0,3.7900925,140.3577880859375,0.0,-0.022731815,6.444769,7.4276204,0.015203753,0.0,0.015203752554953098,81.0,31.0,718.75,0.0
